Date,Open,High,Low,Close,Adj Close,Volume
2023/3/9,15827.98047,15878.75,15770.66016,15770.66016,15770.66016,3556200
2023/3/10,15729.29004,15729.29004,15488.70996,15526.2002,15526.2002,3932200
2023/3/13,15514.03027,15571.16992,15349.66992,15560.49023,15560.49023,3141600
2023/3/14,15517.74023,15517.74023,15348.12012,15360.41992,15360.41992,3097800
2023/3/15,15425.99023,15526.73047,15387.58984,15387.58984,15387.58984,2998000
2023/3/16,15334.25,15334.25,15186.74023,15221.12012,15221.12012,3443900
2023/3/17,15337.96973,15452.95996,15337.96973,15452.95996,15452.95996,3434700
2023/3/20,15454.75,15488.98047,15399.07031,15419.96973,15419.96973,2433600
2023/3/21,15437.9502,15547.96973,15437.9502,15513.4502,15513.4502,2773500
2023/3/22,15535.16992,15760.45996,15535.16992,15760.45996,15760.45996,2773200
2023/3/23,15711.59961,15882.75,15680.83984,15863.9502,15863.9502,2652800
2023/3/24,15869.83984,15921.96973,15845.99023,15914.7002,15914.7002,2914300
2023/3/27,15873.66992,15902.05957,15821.62988,15830.30957,15830.30957,2706800
2023/3/28,15790.7002,15846.54004,15685.58984,15701.48047,15701.48047,2545400
2023/3/29,15766.29004,15811.2002,15681.09961,15769.75977,15769.75977,2376300
2023/3/30,15824.65039,15885.20996,15791.75,15849.42969,15849.42969,2266900
2023/3/31,15874.19043,15951.79981,15857.19043,15868.05957,15868.05957,2440300
2023/4/6,15838.07031,15838.07031,15733.29004,15810.76953,15810.76953,2513500
2023/4/7,15856.19043,15877.99023,15811.19043,15836.5,15836.5,2199900
2023/4/10,15850.94043,15919.75977,15850.94043,15876.16992,15876.16992,2220400
2023/4/11,15886.45996,15945.62988,15838.09961,15913.87988,15913.87988,2744200
2023/4/12,15914.15039,15944.32031,15867.01953,15932.96973,15932.96973,3138100
2023/4/13,15888.62988,15913.2002,15800.41992,15804.75977,15804.75977,3825100
2023/4/14,15854.25,15973.82031,15854.25,15929.42969,15929.42969,3492400
2023/4/17,15934.63965,15963.54981,15894.76953,15963.54981,15963.54981,3396900
2023/4/18,15967.88965,15967.88965,15851.70996,15869.44043,15869.44043,3344600
2023/4/19,15874.65039,15915.38965,15756.75,15770.46973,15770.46973,3554800
2023/4/20,15771.4502,15804.37988,15686.54004,15707.51953,15707.51953,3170900
2023/4/21,15776.54004,15802.92969,15592.95996,15602.99023,15602.99023,3512500
2023/4/24,15555.09961,15643.86035,15529.38965,15626.87012,15626.87012,2474500
2023/4/25,15606.83008,15639.49023,15353.21973,15370.73047,15370.73047,3449300
2023/4/26,15352.03027,15398.40039,15284.45996,15374.62988,15374.62988,2745800
2023/4/27,15374.38965,15455.87988,15306.69043,15411.49023,15411.49023,2616700
2023/4/28,15477.33984,15580.62988,15477.33984,15579.17969,15579.17969,2999300
2023/5/2,15588.67969,15651.23047,15532.62988,15636.48047,15636.48047,2915700
2023/5/3,15629.50977,15629.50977,15530.79004,15553.41016,15553.41016,2511600
2023/5/4,15548.01953,15622.41016,15523.5,15609.03027,15609.03027,2461600
2023/5/5,15627.92969,15673.62012,15578.66992,15626.07031,15626.07031,2294100
2023/5/8,15648.54004,15757.79981,15648.54004,15699.57031,15699.57031,2829600
2023/5/9,15702.25977,15744.26953,15635.90039,15727.7002,15727.7002,2864700
2023/5/10,15708.48047,15711.38965,15579.49023,15641.75977,15641.75977,2366700
2023/5/11,15666.49023,15675.37012,15501.58008,15514.63965,15514.63965,2769100
2023/5/12,15477.12012,15545.99023,15424.41992,15502.36035,15502.36035,2711900
2023/5/15,15489.17969,15510.08984,15434.51953,15475.04981,15475.04981,2444700
2023/5/16,15550.57031,15723.9502,15550.57031,15673.90039,15673.90039,2617800
2023/5/17,15702.74023,15961.96973,15698.62988,15925.29004,15925.29004,3099200
2023/5/18,16060.25977,16128.71973,16015.62012,16101.87988,16101.87988,3379800
2023/5/19,16146.29004,16189.80957,16099.90039,16174.91992,16174.91992,3955600
2023/5/22,16168.74023,16202.91992,16131.54981,16180.88965,16180.88965,3311200
2023/5/23,16186.15039,16239.5,16121.4502,16188.03027,16188.03027,3041900
2023/5/24,16186.62012,16186.62012,16070.16016,16159.32031,16159.32031,2938400
2023/5/25,16163.9502,16323.76953,16163.9502,16292,16292,3551900
2023/5/26,16509.14063,16537.78906,16457.74023,16505.05078,16505.05078,3981600
2023/5/29,16610.85938,16683.75977,16597.38086,16636.30078,16636.30078,3879200
2023/5/30,16648.76953,16681.18945,16579.13086,16622.74023,16622.74023,3645500
2023/5/31,16593.5293,16636.65039,16491.90039,16578.96094,16578.96094,5023700
2023/6/1,16511,16555.5,16477.42969,16512.65039,16512.65039,3888600
2023/6/2,16525,16752.19922,16525,16706.91016,16706.91016,4585600
2023/6/5,16714.48047,16781.18945,16703.59961,16714.42969,16714.42969,4575100
2023/6/6,16712.98047,16793.81055,16699.83008,16761.66016,16761.66016,3861900
2023/6/7,16771.75977,16922.48047,16771.75977,16922.48047,16922.48047,3721800
2023/6/8,16864.17969,16899.50977,16694.21094,16733.68945,16733.68945,3859300
2023/6/9,16775.91992,16895.99023,16775.91992,16886.40039,16886.40039,3598000
2023/6/12,16899.49023,16999.7207,16899.49023,16955.36914,16955.36914,3731500
2023/6/13,17135.83984,17254.96094,17129.23047,17216.59961,17216.59961,3764800
2023/6/14,17190.69922,17259.23047,17182.17969,17238.14063,17238.14063,4290400
2023/6/15,17259.36914,17346.32031,17259.36914,17334.98047,17334.98047,4893200
2023/6/16,17342.85938,17342.85938,17250.78906,17288.91016,17288.91016,6203100
2023/6/19,17274.07031,17306.81055,17210.86914,17274.56055,17274.56055,4654400
2023/6/20,17233.80078,17247.16016,17121.58984,17184.91016,17184.91016,4185300
2023/6/21,17186.7207,17246.76953,17131.44922,17202.40039,17202.40039,4354900
2023/6/26,17182.48047,17182.48047,17011.2793,17059.24023,17059.24023,3970000
2023/6/27,17022.15039,17035.49023,16887.90039,16887.90039,16887.90039,4028700
2023/6/28,16906.23047,17011.11914,16903.71094,16935.63086,16935.63086,3256100
2023/6/29,16930.41016,17077.43945,16911.38086,16942.30078,16942.30078,3357100
2023/6/30,16870.26953,16919.94922,16792.33984,16915.53906,16915.53906,3542500
2023/7/3,16915.53906,17103.73047,16915.53906,17084.19922,17084.19922,3930600
2023/7/4,17084.19922,17154.09961,17042.59961,17140.76953,17140.76953,4436200
2023/7/5,17140.76953,17153.16992,17020.00977,17056.42969,17056.42969,4153400
2023/7/6,17056.42969,17056.42969,16749.28906,16762.16992,16762.16992,4369600
2023/7/7,16762.16992,16762.39063,16593.83984,16664.21094,16664.21094,3783700
2023/7/10,16664.21094,16798.81055,16635.83008,16652.80078,16652.80078,3379500
2023/7/11,16675.68945,16898.91016,16675.68945,16898.91016,16898.91016,3940800
2023/7/12,16903.25,16962.0293,16864.00977,16962.0293,16962.0293,4067700
2023/7/13,16994.58984,17223.85938,16994.58984,17061.40039,17061.40039,4859500
2023/7/14,17152.81055,17287.40039,17128.07031,17283.71094,17283.71094,4457500
2023/7/17,17279.10938,17346.66016,17235.91992,17334.28906,17334.28906,4827400
2023/7/18,17368.35938,17401.58984,17164.91992,17227.91016,17227.91016,6165200
2023/7/19,17265.38086,17340.82031,17082.53906,17116.43945,17116.43945,4897100
2023/7/20,17104.91016,17214.41016,17098.65039,17164.89063,17164.89063,3659100
2023/7/21,17106.28906,17106.28906,16859.13086,17030.69922,17030.69922,4256500
2023/7/24,17036.78906,17098.73047,16941.15039,17033.60938,17033.60938,4044800
2023/7/25,17061.88086,17270.19922,17061.88086,17198.89063,17198.89063,3822600
2023/7/26,17205.4707,17247.01953,17121.99023,17162.55078,17162.55078,4140400
2023/7/27,17189.30078,17282.85938,17189.30078,17241.82031,17241.82031,4509600
2023/7/28,17244.50977,17328.21094,17179.93945,17292.92969,17292.92969,4184900
2023/7/31,17341.03906,17463.75977,17081.48047,17145.42969,17145.42969,5016000
2023/8/1,17141.9707,17252.32031,17095.85938,17212.86914,17212.86914,3848500
2023/8/2,17207.2207,17212.55078,16844.57031,16893.73047,16893.73047,4905400
2023/8/4,16847.24023,16887.38086,16748.50977,16843.67969,16843.67969,3836700
2023/8/7,16870.81055,17032.32031,16868.74023,16996,16996,3358800
2023/8/8,17006.46094,17043.56055,16812.58984,16877.07031,16877.07031,3689000
2023/8/9,16836.64063,16956.73047,16798.5,16870.93945,16870.93945,3230500
2023/8/10,16827.10938,16827.10938,16601.16992,16634.69922,16634.69922,3822300
2023/8/11,16644.65039,16766.83984,16601.25,16601.25,16601.25,3143400
2023/8/14,16585.41016,16585.41016,16307.28027,16393.66016,16393.66016,3754700
2023/8/15,16438.63086,16546.00977,16437.63086,16454.80078,16454.80078,3164800
2023/8/16,16422.19922,16446.7793,16304.44043,16446.7793,16446.7793,3521200
2023/8/17,16411.63086,16550.10938,16264.65039,16516.66016,16516.66016,3718500
2023/8/18,16508.46094,16583.94922,16344.29004,16381.30957,16381.30957,3834000
2023/8/21,16414.14063,16485.25,16347.76953,16381.49023,16381.49023,2647300
2023/8/22,16429.68945,16535.07031,16407.83008,16437.60938,16437.60938,2929100
2023/8/23,16440.39063,16588.50977,16440.39063,16576.90039,16576.90039,3025900
2023/8/24,16651.0293,16822.35938,16651.0293,16770.86914,16770.86914,3988000
2023/8/25,16708.5293,16708.5293,16481.58008,16481.58008,16481.58008,3217200
2023/8/28,16498.85938,16582.96094,16498.85938,16509.25977,16509.25977,3052400
2023/8/29,16528.49023,16627.69922,16495.75977,16623.65039,16623.65039,2649500
2023/8/30,16666.33008,16780.41992,16666.33008,16719.82031,16719.82031,2979300
2023/8/31,16707.34961,16712.2207,16630.66992,16634.50977,16634.50977,3812000
2023/9/1,16640.91992,16730.13086,16619.23047,16644.93945,16644.93945,3194100
2023/9/4,16649.66992,16789.68945,16648.50977,16789.68945,16789.68945,2734900
2023/9/5,16784.11914,16791.60938,16727.43945,16791.60938,16791.60938,2626500
2023/9/6,16796.36914,16841.18945,16732.68945,16738.16016,16738.16016,3123200
2023/9/7,16715.44922,16715.44922,16609.93945,16619.14063,16619.14063,2727400